"work_year","job_title","company_size","employment_type","avg_salary_EN","avg_salary_MI","avg_salary_SE","avg_salary_EX"
2024,"AI Engineer","S","CT",NA,NA,120000,NA
2024,"AI Engineering Manager","L","FT",NA,NA,179930.5,NA
2024,"AI Lead","S","PT",NA,70000,NA,NA
2024,"AI Lead","M","FT",NA,NA,158500.666666667,NA
2024,"AI Machine Learning Engineer","L","FT",NA,NA,120000,NA
2024,"AI Product Manager","M","FT",NA,194688.888888889,205656.25,NA
2024,"AI Product Owner","M","FT",NA,119888.833333333,117500,NA
2024,"AI Programmer","S","FT",NA,30000,NA,NA
2024,"AI Programmer","M","FT",NA,NA,232662.5,NA
2024,"AI Research Engineer","L","FT",NA,2e+05,NA,NA
2024,"AI Research Engineer","S","CT",NA,63333,NA,NA
2024,"AI Research Scientist","L","CT",88888,NA,NA,NA
2024,"AI Research Scientist","L","FT",48019,NA,66666,NA
2024,"AI Research Scientist","S","FT",NA,65000,NA,NA
2024,"AI Research Scientist","M","FT",NA,NA,141666.5,NA
2024,"AI Researcher","M","FT",3e+05,167615.714285714,159650,NA
2024,"AI Researcher","S","FL",60000,NA,NA,NA
2024,"AI Researcher","L","FT",NA,219000,78333,NA
2024,"AI Scientist","M","FT",NA,143750,207234.444444444,NA
2024,"AI Software Development Engineer","L","FT",NA,NA,25210,NA
2024,"AI Software Engineer","S","PT",117647,NA,NA,NA
2024,"AI Software Engineer","M","FT",NA,150084,170331.666666667,NA
2024,"AI Solution Architect","M","FT",NA,NA,189079.8,NA
2024,"AI Specialist","M","FT",70938.6666666667,82779.5,175816.764705882,122500
